src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
The State had never forced students out of State schools by restricting hijab.	राज्याने कधीही हिजाबचा प्रतिबंध लागू करून राज्यशाळेतील विद्यार्थ्यांना बाहेर काढण्याचे आदेश दिले नाही.	राज्याने कधीही हिजाबवर निर्बंध लावून राज्यातील शाळांमधून विद्यार्थ्यांना बाहेर काढले नव्हते.	त्यांनी कधीही राज्य शाळांमधून विद्यार्थ्यांना हिजाबच्या मर्यादेमुळे बाहेर काढले नाही.
The patient has the right to refuse to participate in such research projects.	रुग्णांना ऐसे संशोधन प्रकल्पात सहभागी होण्याची नाकारात्मक प्रतिबंध करण्याचे हक्क आहे.	रुग्णाला अशा संशोधन प्रकल्पांमध्ये सहभागी होण्यास नकार देण्याचा अधिकार आहे.	रुग्णांना अशा संशोधन प्रकल्पांमध्ये सहभागी होण्यास नकार देण्याचा अधिकार आहे.
The field officials should remember it while implementing projects. 	क्षेत्रीय अधिकाऱ्यांनी प्रकल्प अमलात आणताना ह्याचा लक्ष ठेवावा लागेल.	प्रकल्प राबवताना क्षेत्रीय अधिकाऱ्यांनी हे लक्षात ठेवावे.	क्षेत्र अधिकारी त्यांनी प्रकल्प राबविताना हे लक्षात ठेवावे.
Senior officials in the Ministry of Tribal Affairs said a change in the structure had already been approved.	मराठीत वनजन कार्यालयातील वरिष्ठ अधिकारींनी संरचनेत बदल करण्याची परवानगी पहिल्यांदा दिली आहे.	आदिवासी कार्य मंत्रालयातील वरिष्ठ अधिकाऱ्यांनी सांगितले की, संरचनेत बदल करण्यास आधीच मंजुरी देण्यात आली आहे.	महामंडळातील वरिष्ठ अधिकारी म्हणाले की आदिवासी कार्य मंत्रालयातील संरचनेतील बदलाला आधीच मान्यता देण्यात आली आहे.
The Bhagwan Mahaveer Foundation has called for applications for the Mahaveer awards.	भगवान महावीर फाउंडेशनने महावीर पुरस्कारासाठी अर्जांची आवाहन केली आहे.	भगवान महावीर फाउंडेशनने महावीर पुरस्कारांसाठी अर्ज मागवले आहेत.	भागवान महावीर फाउंडेशनने महावीर पुरस्कारांसाठी अर्ज मागविले आहेत.
Mr. Yediyurappa resigned as Chief Minister and was succeeded by Basavaraj Bommai in 2020.	येदियुरप्पा सरकारप्रमुख म्हणून राजीनामा दिला आणि २०२० मध्ये त्यांच्या स्थानात बासवराज बोम्माई यांनी उत्तरदायित्व संभालला.	श्री येडियुरप्पा यांनी मुख्यमंत्री पदाचा राजीनामा दिला आणि २०२० मध्ये त्यांचे स्थान बसवराज बोम्माई यांनी घेतले.	श्री येदियुरप्पा त्यांनी मुख्यमंत्री पदाचा राजीनामा दिला आणि २०२० मध्ये त्यांच्यानंतर बसवराज बोम्मई त्यांचे उत्तराधिकारी झाले.
The rescuers had to cut the roof of the lift to bring them out, and nobody was hurt.	उद्धारक त्यांना बाहेर आणण्यासाठी लिफ्टच्या छत्राचा कापण करावा लागला होता, आणि कोणीही जखमी झालेला नव्हता.	"The rescuers had to cut the roof of the lift to bring them out, and nobody was hurt.

उद्धारकर्त्यांना त्यांना बाहेर आणण्यासाठी लिफ्टचे छत कापावे लागले, आणि कोणालाही इजा झाली नाही."	त्यांनी लिफ्टचा छत कापून त्यांना बाहेर काढले, आणि कोणालाही इजा झाली नाही.
The group claimed another police station attack in Rask that killed one officer on January 10.	जनवादी समूहने १० जानेवारीला रास्कमध्ये एक पोलिस थान्यावरील हल्ला केला आणि एक पोलिस अधिकारीला मारुन घातला असा दावा केला.	समूहाने रस्क येथील आणखी एका पोलीस ठाण्यावर करण्यात आलेल्या हल्ल्याची जबाबदारी स्वीकारली ज्यात १० जानेवारीला एक अधिकारी मृत्युमुखी पडले.	त्या गटाने रास्क येथे जानेवारी १० रोजी एका अधिकाऱ्याचा मृत्यू झालेला आणि पोलीस स्टेशनवरील आणखी एक हल्ला केल्याचा दावा केला.
Based on the complaint, an FIR has been registered against Constable Shailendra Singh and three other policemen.	तक्रारानुसार, कॉन्स्टेबल शैलेंद्र सिंग्ह आणि तिन्हो अन्य पोलीसांविरुद्ध एफआयआर दाखल केला गेला आहे.	तक्रारीच्या आधारे कॉन्स्टेबल शैलेन्द्र सिंह आणि इतर तीन पोलिसांविरुद्ध FIR नोंदवली गेली आहे.	त्या तक्रारीवरून, कॉन्स्टेबल शैलेंद्र सिंह यांच्या विरोधात आणि इतर तीन पोलीस अधिकाऱ्यांच्या विरोधात एफआयआर नोंदविण्यात आला आहे.
Financial institutions also play a crucial role in tracking the money trails sustaining these networks.	वित्तीय संस्थानांनी ही नेटवर्क्स संचालित करणाऱ्या धनाच्या मार्गांची तपासणीसाठी महत्वाच्या भूमिका आणतात.	आर्थिक संस्थाही या नेटवर्क्सना चालविणाऱ्या पैशांच्या मागोव्यासाठी महत्त्वाची भूमिका बजावतात.	आर्थिक संस्थाने देखील या नेटवर्क्सच्या पैसा ट्रेल्सच्या निरीक्षणात महत्त्वाची भूमिका बजावतात.
It is laudable that customs duties have been waived on three anti-cancer drugs.	खुप उत्तम आहे की तीन एंटी-कॅन्सर औषधांवर शुल्क माफ केले गेले आहे.	तीन कर्करोगविरोधी औषधांवरील सीमाशुल्क माफ करण्यात आले आहे, हे प्रशंसनीय आहे.	त्यांनी तीन कर्करोग विरोधी औषधींवरील सीमा शुल्क माफ केले असे प्रशंसनीय आहे.
Inside the final sprint in the biggest battleground state on the map.	मानचिन्हांवरील सर्वोत्तम लढाई राज्यातील अंतिम स्प्रिंटमध्ये आता.	नकाशावरील सर्वात मोठ्या रणांगण राज्यामध्ये अंतिम धावपटूंच्या आत.	आखरीच्या स्प्रिंटच्या आत महान लढाऊ राज्याच्या नकाशावर.
All eyes are on America as an uncertain world awaits election result.	सर्व डोळ्यांनी अमेरिकेला ध्यानात ठेवलं आहे, एक अनिश्चित जगात निवडणूकचा निर्णय वाटतंय.	संपूर्ण जग अमेरिकेकडे पाहत आहे कारण अनिश्चित जग निवडणुकीच्या निकालाची प्रतीक्षा करत आहे.	अमेरिकेच्या निवडणुकीच्या निकालाची वाट पाहत आहेत अशा अनिश्चित जगाची सर्व डोळे अमेरिकेकडे आहेत.
Twitch faces criticism over Israel-Gaza war content on platform.	त्विचवर इजरायल-गाझा युद्धाच्या विषयावर साहाय्यक आल्यामुळे ट्विचने आलोचना केली आहे.	Twitch या प्लॅटफॉर्मवरील इस्रायल-गाझा युद्धाच्या सामग्रीवर टीका होत आहे.	ट्विचला इस्रायल-गाजा युद्ध संबंधित प्लॅटफॉर्मवरील सामग्रीवर टीका स्वीकारावी लागत आहे.
North Korea fires multiple ballistic missiles toward the sea ahead of U.S. election.	उत्तर कोरिया संयुक्त राज्य निवडणुक्यापूर्वी समुद्राकडे अनेक बॉलिस्टिक मिसाइल फोडतं.	उत्तर कोरियाने अमेरिकेच्या निवडणुकीपूर्वी समुद्राकडे अनेक क्षेपणास्त्रे डागली आहेत.	उत्तर कोरियाने समुद्राकडे अमेरिकेच्या निवडणुकीच्या पूर्वसंध्येला अनेक बॅलिस्टिक मिसाइल्स सोडल्या.
Singapore Airlines will add first class, revamp cabins for longest flights.	सिंगापूर एअरलाइंसने सबसे लांब्या फ्लाइट्ससाठी पहिल्या वर्गाचे वाहन जोडणार आहेत, केबिन्स नवीन करणार आहेत.	सिंगापूर एअरलाइन्स त्यांच्या सर्वात लांब उड्डाणांसाठी प्रथम श्रेणी जोडतील आणि केबिनचे नूतनीकरण करतील.	सिंगापूर एरलाइन्स त्यांचे प्रथम वर्ग जोडणार आहेत, सर्वात लांब प्रवासासाठी केबिन्सचा नवीनीकरण करणार आहेत.
Priyanka Chopra Jonas and Nick Jonas celebrate 'Diwaloween,' Diwali and Halloween mashup.	प्रियंका चोप्रा जोनस आणि निक जोनस 'दिवालोव्हीन' साजरा करतात, दिवाळी आणि हॅलोवीनची मॅशअप.	प्रियंका चोप्रा जोनस आणि निक जोनस 'दिवालोवीन' म्हणजे दिवाळी आणि हॅलोवीनचा एकत्रित सण साजरा करतात.	प्रियांका चोप्रा जोनास आणि निक जोनास त्यांचे 'डिवालोवीन' साजरे करतात, दिवाळी आणि हॅलोवीनचा मिलाफ.
Pennsylvania officials denounce Halloween float appearing to depict Harris tied to golf cart.	Pennsylvania संस्थापक Halloween float निशाना देतात ज्यामध्ये Harris ने golf cart ला बांधलेला दाखवून देतात.	पेन्सिल्व्हेनियातील अधिकारी हॅलोवीन फ्लोटवर हरिसला गोल्फ कार्टशी बांधलेल्या अवस्थेत दर्शवताना दिसल्याबद्दल निषेध व्यक्त करतात.	पेन्सिल्व्हानिया अधिकारी हॅरिसला गोल्फ कार्टला बांधलेले दिसणारे हॅलोवीन फ्लोटची निंदा करतात.
Elon Musk's election-doubting posts shared 9 times more than his less extreme election content.	इलॉन मस्कच्या निवडणूकविषयीच्या पोस्ट्सचं त्याच्या कमी अतिरेकी निवडणूक सामग्रीपेक्षा ९ वेळा अधिक सामायिक केले गेले.	एलन मस्क यांच्या निवडणूक-संदर्भातील शंका उपस्थित करणाऱ्या पोस्ट्स त्यांच्या कमी तीव्र निवडणूक सामग्रीपेक्षा ९ पट अधिक वेळा शेअर केल्या गेल्या.	एलोन मस्क यांच्या निवडणूक-शंका पोस्ट्स त्यांच्या कमी अतिरेकी निवडणूक सामग्रीवर ९ पट जास्त वाटल्या होत्या.
Americans eye the economy from kitchen tables and hourly jobs as they plan their votes.	अमेरिकन्स त्यांच्या मतदानाची योजना करताना किचन टेबल्स आणि प्रत्येक तासाच्या कामांमध्ये अर्थव्यवस्थेच्या दिशेने पहा.	अमेरिकन लोक त्यांच्या मतांचे नियोजन करताना स्वयंपाकघराच्या टेबलांवरून आणि तासागणिक मिळणाऱ्या नोकऱ्यांवरून अर्थव्यवस्थेकडे लक्ष देतात.	अमेरिकन त्यांच्या अर्थव्यवस्थेकडे स्वयंपाकगृहाच्या टेबलवरून आणि तासिक नोकऱ्यांमधून त्यांची मते निश्चित करतात.
Quincy Jones, musical maestro and entertainment industry titan, dies at 91.	क्विंसी जोन्स, संगीत महामहिम आणि मनोरंजन उद्योग विशालकाय, ९१ वर्षांच्या वयाने मराठे जातात.	संगीत क्षेत्रातील महान गुरु आणि मनोरंजन उद्योगातील दिग्गज, क्विन्सी जोन्स, वयाच्या ९१व्या वर्षी निधन पावले.	क्विंसी जोन्स, संगीताचे महारथी आणि मनोरंजन उद्योगाचे दिग्गज, ९१ वर्षांचे वयात निधन पावले.
Proud Boys claim they'll be at polling places as Trump ups violent rhetoric and fraud claims	मंद लोक दावा करतात की ते जातीच्या स्थळांवर उपस्थित राहणार आहेत कारण ट्रंप द्वारे हिंसात्मक वाक्यसंग्रह आणि धोखाधडाव्या दावे वाढतील.	प्राउड बॉयज म्हणतात की ते मतदान केंद्रांवर उपस्थित राहतील कारण ट्रम्प हिंसक वक्तव्ये आणि फसवणूकीच्या दाव्यांना वाढ देत आहेत.	त्या पroud Boys ला म्हणतात की ते मतदान केंद्रांवर असतील जेव्हा त्रंप हिंसक भाषण व फसवणुकीच्या आरोपांचा प्रचार करतात.
One of the police officers stumbled to the ground when the driver applied brakes and attempted to strike him.	एका पोलीस अधिकाऱ्यांपैकी एक पोलीस अधिकाऱ्य ब्रेक लावल्यावर द्रायव्हर त्याला धक्का देण्याचा प्रयत्न केला आणि तो भूमिवर थोकला.	चालकाने ब्रेक लावले आणि त्यांना धक्का देण्याचा प्रयत्न केला तेव्हा पोलिस अधिकारी जमिनीवर कोसळले.	एक पोलीस अधिकारी त्यांना जमिनीवर कोसळले जेव्हा चालकाने ब्रेक लावले आणि त्यांच्यावर हल्ला करण्याचा प्रयत्न केला.
The authorities confirmed they have identified the vehicle's owner and expect to make an arrest shortly.	अधिकारी म्हणाले की त्यांनी वाहनाच्या मालकाची ओळख केली आहे आणि लवकरात लवक अटक करण्याची अपेक्षा आहे.	अधिकार्‍यांनी पुष्टी केली आहे की त्यांनी वाहनाच्या मालकाची ओळख पटवली आहे आणि लवकरच अटक करण्याची अपेक्षा आहे.	त्या अधिकार्‍यांनी त्यांनी वाहनाच्या मालकाची ओळख पटविली असून लवकरच अटक करण्याची अपेक्षा आहे.
The Chhatrapati Shivaji statue in the Arabian Sea off the Mumbai coast is referred to as a precedent for the proposed pen memorial.	मुंबई खाडीतील अरबी समुद्रातील छत्रपती शिवाजी दर्जाची मूर्ती, प्रस्तावित पेन स्मारकासाठी एक आधार म्हणून संदर्भित केली जाते.	मुंबईच्या किनाऱ्यावरील अरबी समुद्रातील छत्रपती शिवाजींची मूर्ती प्रस्तावित पेन स्मारकासाठी एक उदाहरण म्हणून संबोधली जाते.	छत्रपती शिवाजी Maharajांचा अरबी समुद्रात मुंबई किनारपट्टीवरील पुतळा प्रस्तावित पेन स्मारकासाठी आदर्श म्हणून ओळखला जातो.
Several political parties have opposed the pen memorial in the proposed location.	काही राजकीय पक्षांनी सुचवलेल्या ठिकाणी लेखनाची स्मारकाची विरोध केली आहे.	प्रस्तावित ठिकाणी पेन स्मारकाला अनेक राजकीय पक्षांनी विरोध केला आहे.	अनेक राजकीय पक्षांनी प्रस्तावित स्थानावरील कलम स्मारकाला विरोध केला आहे.
They have not taken into consideration the rainfall data of 2015 or years thereafter. 	त्यांनी २०१५ वर्षाच्या नंतरच्या वर्षाची माहिती विचारात घेतली नाही.	त्यांनी २०१५ किंवा त्यानंतरच्या वर्षांच्या पर्जन्यमानाच्या आकडेवारीचा विचार केलेला नाही.	त्यांनी २०१५ च्या किंवा त्यानंतरच्या वर्षांचे पावसाचे आकडे विचारात घेतले नाहीत.
The museum has been equipped with multimedia content, QR codes and holograms.	संग्रहालयात मल्टिमिडिया कंटेंट, क्यूआर कोड आणि होलोग्राम्ससह सुसज्जित केले गेले आहे.	संग्रहालयाला मल्टिमीडिया सामग्री, QR कोड्स आणि होलोग्राम्सने सुसज्ज केले आहे.	त्यांनी संग्रहालयाला मल्टिमीडिया सामग्री, क्यूआर कोड आणि होलोग्राम्सनी सुसज्जित केले आहे.
The ninth phase of the excavations would begin later this month, said officials.	अधिकारी म्हणाले की उद्घाटनाच्या नव्या चरणाचा उद्घाटन या महिन्यातच होईल.	अधिकाऱ्यांनी सांगितले की, उत्खननाच्या नवव्या टप्प्याला या महिन्याच्या शेवटी सुरुवात होईल.	नवव्या टप्प्यातील उत्खनने या महिन्याच्या उत्तरार्धात सुरू होतील, असे अधिकारी म्हणतात.
Mr. Reddy is a close relative of Taraka Ratna's wife Alekya Reddy.	"""श्री रेड्डी तारका रत्नांच्या पत्नी अलेक्या रेड्डीचे निकट संबंधी आहेत."""	श्री रेड्डी हे तारक रत्न यांच्या पत्नी आलेख्या रेड्डी यांच्या निकटच्या नातेवाईकांपैकी आहेत.	श्रीमान रेड्डी हे तारका रत्नाच्या पत्नी अलेक्या रेड्डी यांचे नातेवाईक आहेत.
This betrays an inexplicable hostility towards knowledge creation of all kinds. 	यात सर्व प्रकारच्या ज्ञानसृष्टीवर अकारण शत्रूता दाखवते.	हे सर्व प्रकारच्या ज्ञाननिर्मितीबद्दलच्या अनाकलनीय शत्रुत्वाला प्रकट करते.	हे सर्व प्रकारच्या ज्ञान निर्मितीच्या प्रति अस्पष्ट वैर व्यक्त करते.
The second is what he calls alienation from the process of labour.	तुम्ही तुमच्या कामची प्रक्रियेतून परदेशातून अलगवज़ा असे तो म्हणतो.	दुसरे म्हणजे ते ज्याला श्रम प्रक्रियेपासून疏離करण म्हणतात.	ते दुसरे म्हणजे त्यांचे कामाच्या प्रक्रियेपासून परकीयकरण होय.
In the process, Marx argued, workers become miserable.	या प्रक्रियेत, मार्क्स वाद दिल्या की, कर्मचारी दुःखी होतात.	या प्रक्रियेत, मार्क्स यांनी सांगितले की, कामगार दुःखी होतात.	त्या प्रक्रियेत, मार्क्स यांनी तर्क केला की कामगार मiserable होतात.
He asked the people to compare the scale of development in the adjoining Assam during eight years of BJP rule.	त्यांनी मानवांना विनंती केली की अँगठ्यावरील आसाममध्ये भाजपा शासनाच्या आठ वर्षांच्या काळात विकासाचे माप तुलना करण्याची.	त्यांनी लोकांना आठ वर्षांच्या भाजपच्या राजवटीदरम्यान शेजारील आसाममधील विकासाच्या प्रमाणाची तुलना करण्यास सांगितले.	त्यांनी लोकांना आसाममधील आठ वर्षांच्या भाजप सरकारच्या कालावधीतील विकासाच्या प्रमाणाची तुलना करण्यास सांगितले.
The DMK MP also said that the Budget presented by Union Finance Minister Nirmala Sitharaman had neglected sectors such as education, health and agriculture.	DMK एमपीही त्यात आणि संघीय वित्त मंत्री निर्मला सीतारमण द्वारे पेश केलेले बजेट शिक्षण, आरोग्य आणि कृषी अशा क्षेत्रांचा उपेक्षा केलेला आहे, असं सांगितलं.	डीएमकेचे खासदार असेही म्हणाले की केंद्रीय वित्त मंत्री निर्मला सीतारामन यांनी सादर केलेल्या अर्थसंकल्पात शिक्षण, आरोग्य आणि शेती यांसारख्या क्षेत्रांकडे दुर्लक्ष करण्यात आले आहे.	डीएमके सांसदांनीही म्हटले की केंद्रीय अर्थमंत्री निर्मला सीतारामन यांनी सादर केलेल्या अर्थसंकल्पात शिक्षण, आरोग्य आणि कृषी या क्षेत्रांना दुर्लक्ष केले आहे.
The accident took place around 3 p.m. on a State highway close to Korar village.	काही वेळेच्या वेळी एक राज्यीय हायवे जवळच्या कोरर गावावर एक दुर्घटना घडली.	अपघात दुपारी ३ वाजता कोरार गावाजवळील राज्य महामार्गावर झाला.	आकस्मिक अपघात साधारणपणे ३ वाजता राज्य महामार्गावर कोरार गावाजवळ झाला.
Both the survivors are being treated at a hospital in Raipur.	आपल्या दोन उर्वारा रायपुरातील एक रुग्णालयात उपचारात आहेत.	रायपूरमधील रुग्णालयात दोन्ही वाचलेल्यांवर उपचार केले जात आहेत.	ते दोन जखमी रायपूर येथील एका रुग्णालयात उपचार घेत आहेत.
Chief Minister Bhupesh Baghel took to Twitter to express grief over the accident.	मुख्यमंत्री भूपेश बघेल ट्विटरवर दु:खाच्या भावना व्यक्त करण्यासाठी ग्राहकांचा वापर केला.	मुख्यमंत्री भूपेश बघेल यांनी अपघाताबद्दल दुःख व्यक्त करण्यासाठी ट्विटरचा वापर केला.	मुख्यमंत्री भूपेश बघेल यांनी ट्विटरवर दुर्घटनेवर शोक व्यक्त केला.
The Indian Institute of Technology Madras (IIT-M) Research Park hosted a competition for children.	भारतीय प्रौद्योगिकी संस्थान मद्रास (आयआयटी-एम) रिसर्च पार्कने मुलांसाठी एक प्रतियोगिता आयोजित केली.	भारतीय तंत्रज्ञान संस्था, मद्रास (आयआयटी-एम) संशोधन उद्यान यांनी मुलांसाठी एक स्पर्धा आयोजित केली.	भारतीय तंत्रज्ञान संस्था मद्रास (आयआयटी-एम) संशोधन पार्कने बालांसाठी स्पर्धा आयोजित केली.
"External affairs minister S Jaishankar on Tuesday expressed concern over the attack on a Hindu temple in Canada, describing the incident as ""deeply concerning."	"सोमवारीच्या दिवशी बाह्य कार्य मंत्रिमंडळीवरील एस जयशंकर ने कॅनडातील एक हिंदू मंदिरवरील हल्ल्यावर चिंता व्यक्त केली, या घटनेवर ""गंभीर चिंताजनक"" असे वर्णन केले."	"मंगलवारी परराष्ट्र मंत्री एस. जयशंकर यांनी कॅनडामधील हिंदू मंदिरावर झालेल्या हल्ल्याबद्दल चिंता व्यक्त केली आणि या घटनेचा ""गंभीर विचार करण्याजोगा"" असा उल्लेख केला."	"विदेश मंत्र्यांनी मंगळवारी कॅनडामधील हिंदू मंदिरावरील हल्ल्याबद्दल चिंता व्यक्त केली, ही घटना ""अत्यंत चिंताजनक"" असल्याचे सांगितले."
Modi condemns violence after Canada temple inciden.	मोदी ने कॅनडा देवस्थान घटनेनंतर हिंसेची निंदा केली.	मोदी कॅनडातील मंदिराच्या घटनेनंतर हिंसाचाराचा निषेध करतात.	मोदी त्यांनी कॅनडा मंदिर प्रकरणानंतर हिंसाचाराची निंदा केली.
Mr Nijjar had been a vocal supporter of the Khalistan movement and publicly campaigned for it.	निज्जर सरांनी खालिस्तान आंदोलनाचा सक्रिय समर्थक होता आणि त्याने त्यासाठी सार्वजनिकपणे अभियान चालवला.	श्री निज्जर हे खलिस्तान चळवळीचे प्रखर समर्थक होते आणि त्यांनी तिच्यासाठी सार्वजनिकरित्या प्रचार केला होता.	श्री निज्जार साहेबांनी खालिस्तान चळवळीचे प्रबल समर्थक होते आणि त्यासाठी सार्वजनिकपणे प्रचार केला होता.
Bangladesh steps up repayments to Adani to avoid power supply cu.	बांग्लादेश अदानीला विद्युत आपूर्ती संकट टाळण्यासाठी कर्जाची तितकी करत आहे.	बांगलादेश वीजपुरवठा कपात टाळण्यासाठी अदानींना परतफेड वाढवित आहात.	बांगलादेश आदानीला कर्ज फेडण्यासाठी वीज पुरवठा कात टाळण्यासाठी पावले वाढवत आहेत.
The country is already suffering from increased power shortages in rural areas.	देशात शांतता वळवण्याची समस्या आधीच गावीकडच्या क्षेत्रांमध्ये वाढत आहे.	गावाकडील भागांमध्ये वाढलेल्या वीजटंचाईमुळे देश आधीच त्रास सहन करत आहे.	देशाला ग्रामीण भागात वाढत्या विजेच्या टंचाईचा सामना करावा लागत आहे.
Officials said 44 people were on board when the driver lost control and the bus fell into a 50m-deep ditch in Marchula, located in the state’s Almora district.	अधिकाऱ्यांनी सांगितलं की ड्रायव्हरांनी नियंत्रण गमावून दर्जेदारीच्या अल्मोरा जिल्ह्यातील मार्चूला येथील ५० मीटर गहिरे घाटात बस गिळ्यात पडली वेळेवर ४४ लोकांसह त्या बसात आले होते.	अधिकाऱ्यांनी सांगितले की, राज्याच्या अल्मोरा जिल्ह्यातील मार्चुला येथे चालकाचा ताबा सुटला आणि बस ५० मीटर खोल खड्यात कोसळली, तेव्हा ४४ लोक बसमध्ये होते.	अधिकारी म्हणाले की बसमध्ये ४४ जण चालले होते जेव्हा चालकाने नियंत्रण सोडले आणि बस मार्चुला येथील अल्मोरा जिल्ह्यातील ५० मीटर खोल गटारात पडली.
Uttarakhand's Chief Minister Pushkar Singh Dhami has also announced financial assistance for the victims and their families.	उत्तराखंडाचे मुख्यमंत्री पुष्कर सिंह धामीने पीडितांच्या आणि त्यांच्या कुटुंबांसाठी आर्थिक सहाय्य घोषित केलं आहे.	उत्तराखंडचे मुख्यमंत्री पुष्कर सिंह धामी यांनी पीडितांना आणि त्यांच्या कुटुंबीयांना आर्थिक मदतीची घोषणा केली आहे.	उत्तराखंडचे मुख्यमंत्री पुष्कर सिंह धामी यांनीही पीडितांच्या व त्यांच्या कुटुंबीयांसाठी आर्थिक मदत जाहीर केली आहे.
Our scientists used it as an incentive to develop their own technology.	आमचे वैज्ञानिक आपल्या खात्यात त्याचा वापर करून त्यांच्या स्वतःच्या तंत्रज्ञानाची विकास केली.	आमच्या वैज्ञानिकांनी त्यांचा स्वतःचा तंत्रज्ञान विकसित करण्यासाठी याचा प्रोत्साहन म्हणून वापर केला.	त्यांचे वैज्ञानिक त्याला प्रोत्साहन म्हणून त्यांची स्वकीय तंत्रज्ञान विकसित करण्यासाठी वापरले.
Mylswamy Annadurai, chief of India’s first and second Moon missions and Mars mission, told the BBC that Isro employs far fewer people and pays lower salaries, which makes Indian projects competitive.	मैल्सवामी अन्नादुरै, भारताच्या पहिल्या आणि दुसऱ्या चंद्रमा मिशन्स आणि मंगळ मिशनचे मुख्य, बीबीसीला सांगितलं की इसरो संख्येने अधिक कमी करते आणि कमी वेतने देते, ज्यामुळे भारतीय प्रकल्प स्पर्धात्मक बनवतात.	मायलस्वामी अन्नादुराई, भारताच्या पहिल्या आणि दुसऱ्या चंद्र मोहिमा आणि मंगळ मोहिमेचे प्रमुख, यांनी बीबीसीला सांगितले की इस्रो कमी लोकांना नोकरी देते आणि कमी पगार देते, ज्यामुळे भारतीय प्रकल्प स्पर्धात्मक ठरतात.	मीलस्वामी अन्नादुरई, भारताच्या प्रथम आणि द्वितीय चंद्रमissionचे प्रमुख आणि मंगळ मिशनचे प्रमुख, बीबीसीला सांगितले की इस्रो कमी लोकांना रोजगार देते आणि कमी वेतन देते, ज्यामुळे भारतीय प्रकल्प स्पर्धात्मक होतात.
Ex-district president of Bajrang Dal Gurgaon held for shooting at Gurgaon man.	गुरुगावातील गुरुगाव युवकावर गोली काढण्यात आणणारे बजरंग दलाच्या जिल्हाध्यक्षांनी गुरुगावातील पुराने जिल्हाध्यक्षांच्या पदाधिकाऱ्यांनी पकडले.	बजरंग दल गुरगावचे माजी जिल्हाध्यक्ष गुरगावमधील व्यक्तीवर गोळीबार केल्याबद्दल अटक करण्यात आली आहे.	बजरंग दलाचे माजी जिल्हा अध्यक्ष गुरगावचे त्या गुरगावकरांवर गोळीबार करण्यासाठी अटक करण्यात आले.
The legendary Bob Khathing led the expedition to peacefully integrate Tawang into India.	महान बॉब खाथिंग यांनी तावंग भारतात समाहित करण्यासाठी अभियान नेत्यांच्या मार्गदर्शनाखाली लढवलं.	प्रसिद्ध बॉब खाथिंग यांनी तवांगला शांततेत भारतात समाविष्ट करण्याच्या मोहिमेचे नेतृत्व केले.	भारतीय अधिकाऱ्यांनी शांततापूर्ण रीतीने तवांगचा भारतात समावेश करण्यासाठी प्रसिद्ध बोब खातिंग यांचे नेतृत्व होते.
In 1939, after the Second World War broke out, Khathing joined the Indian Army and got an Emergency Commission as an officer.	इ.स. १९३९ मध्ये, द्वितीय विश्व युद्ध सुरू झाल्यानंतर, खाथिंग भारतीय सेनेत सामील झाले आणि एक अधिकारीस्थानाची आपातकालीन कमिशन मिळाली.	१९३९ मध्ये, दुसरे महायुद्ध सुरू झाल्यानंतर, खाथिंग यांनी भारतीय सैन्यात सामील होऊन अधिकारी म्हणून एक आपत्कालीन आयोग प्राप्त केला.	१९३९ मध्ये, दुसऱ्या महायुद्धाचा प्रारंभ झाल्यानंतर, खाथिंगांनी भारतीय सेनेत प्रवेश केला आणि त्यांना ऑफिसर म्हणून आपत्कालीन आयोग मिळाला.
At the end of the Second World War, the Emergency Commissioned officers in the Army were demobilised.	दुसर्या विश्वयुद्धाच्या शेवटी, सेनेतील आपत्कालीन कमीशनदारंची रक्षणार्थ सैनिकांना वाजवले गेले.	द्वितीय महायुद्धाच्या शेवटी, सैन्यातील आपत्कालीन नियुक्त अधिकारी निवृत्त करण्यात आले.	दुसऱ्या महायुद्धाच्या शेवटी, सेनेतील त्या आपत्कालीन अधिकारी महाशयांना मुक्त करण्यात आले.
Most of the senior cricketers were far from their best, especially against New Zealand.	अधिकांश वरिष्ठ क्रिकेटर त्यांच्या सर्वोत्तमपेक्षा दूर होते, विशेषतः न्यूझीलंडविरुद्ध.	अधिकांश वरिष्ठ क्रिकेटपटू त्यांच्या सर्वोत्तम कामगिरीपासून दूर होते, विशेषतः न्यूझीलंडविरुद्ध.	महत्त्वाचे सगळे ज्येष्ठ क्रिकेटपटू त्यांच्या सर्वोत्तमपासून दूर होते, विशेषतः न्यू झीलंडविरुद्ध.
